crop,region,month,quantity_kg,price_per_kg
Cocoa,Sudan,3,500.0,1699.14
Irish Potato,Central African Republic,2,10.0,338.62
Tomato,Liberia,10,25.0,146.13
Cassava,Gambia,5,100.0,16.92
Onion,Gabon,8,10.0,438.92
Beans,Mauritania,9,25.0,43.21
Cocoa,Ghana,5,250.0,53.47
Coffee,Morocco,1,250.0,36.18
Cassava,Equatorial Guinea,1,10.0,126.53
Tomato,Guinea,9,500.0,6667.58
Coffee,Morocco,12,50.0,33.1
Rice,Nigeria,9,10.0,1089.03
Onion,Gambia,7,500.0,43.48
Irish Potato,Uganda,6,1000.0,1507.52
Coffee,Equatorial Guinea,2,250.0,2068.11
Onion,Sudan,1,100.0,301.71
Beans,Eritrea,2,500.0,15.52
Tomato,Libya,9,100.0,3.87
Maize,Somalia,9,500.0,157.46
Plantain,Morocco,12,1000.0,4.03
Coffee,Gabon,7,10.0,2456.37
Irish Potato,Senegal,11,25.0,307.65
Plantain,Angola,6,1000.0,371.94
Beans,Libya,8,250.0,5.45
Cassava,South Africa,1,500.0,3.09
Tomato,Zambia,1,10.0,17.76
Coffee,Chad,10,500.0,2004.39
Beans,Burkina Faso,2,100.0,736.12
Onion,Djibouti,4,250.0,96.0
Irish Potato,South Africa,1,50.0,9.9
Tomato,Uganda,12,50.0,2492.58
Maize,Sudan,10,50.0,187.15
Cassava,Equatorial Guinea,2,500.0,124.81
Maize,Morocco,7,250.0,2.87
Tomato,Algeria,6,25.0,92.53
Cassava,Cabo Verde,6,250.0,22.09
Plantain,Burkina Faso,9,50.0,215.36
Cassava,Cameroon,7,25.0,134.46
Plantain,Libya,8,500.0,1.82
Cassava,Sao Tome and Principe,5,250.0,5.03
Cassava,Libya,2,250.0,0.98
Maize,Eritrea,6,50.0,4.59
Irish Potato,Sierra Leone,6,10.0,9501.45
Coffee,South Sudan,5,100.0,12816.53
Irish Potato,Guinea,6,50.0,3461.85
Cocoa,Niger,5,500.0,1897.92
Tomato,Nigeria,1,500.0,1004.86
Plantain,Congo (Republic),6,10.0,284.82
Rice,Sudan,8,250.0,452.22
Irish Potato,Tunisia,8,25.0,1.32
Rice,Togo,10,1000.0,356.57
Irish Potato,Cote d'Ivoire,12,1000.0,281.25
Beans,Namibia,7,25.0,18.17
Cocoa,Somalia,4,1000.0,1657.94
Rice,Libya,7,250.0,3.9
Onion,Ghana,7,10.0,10.01
Cocoa,Senegal,12,10.0,1597.06
Beans,Tanzania,10,250.0,3030.84
Irish Potato,Equatorial Guinea,9,500.0,272.36
Onion,Kenya,8,100.0,89.71
Rice,Nigeria,11,10.0,1174.63
Irish Potato,Chad,4,10.0,302.67
Irish Potato,South Sudan,6,25.0,1352.11
Tomato,Cameroon,5,500.0,389.75
Rice,Tunisia,9,250.0,2.24
Cocoa,Mozambique,10,10.0,176.6
Onion,Uganda,7,25.0,2400.7
Tomato,Comoros,4,100.0,287.19
Tomato,Tunisia,9,50.0,2.61
Maize,Nigeria,7,25.0,467.11
Tomato,Mozambique,5,500.0,34.34
Beans,Comoros,6,25.0,438.48
Onion,Guinea-Bissau,12,1000.0,271.01
Irish Potato,Namibia,2,50.0,10.05
Maize,South Africa,12,250.0,6.24
Rice,Togo,11,100.0,453.39
Maize,Lesotho,7,250.0,5.37
Tomato,South Africa,10,100.0,14.2
Onion,South Sudan,7,100.0,1951.95
Maize,Burundi,10,50.0,927.19
Coffee,Chad,3,250.0,2334.63
Plantain,Congo (Republic),9,100.0,237.69
Cassava,Morocco,5,250.0,2.43
Tomato,Burkina Faso,4,100.0,354.27
Cocoa,Liberia,9,500.0,590.28
Cocoa,Guinea-Bissau,11,1000.0,1204.6
Onion,Sudan,7,500.0,355.76
Coffee,Central African Republic,6,25.0,2560.07
Coffee,Congo (Republic),9,1000.0,1832.44
Tomato,Guinea-Bissau,10,250.0,416.43
Onion,Guinea,6,1000.0,4991.06
Coffee,Togo,4,1000.0,2063.73
Rice,Libya,1,25.0,4.43
Onion,Zimbabwe,3,1000.0,11.17
Irish Potato,Congo (DRC),3,100.0,1381.63
Cassava,Tanzania,10,25.0,496.8
Beans,Algeria,8,25.0,138.87
Tomato,Burkina Faso,7,1000.0,384.53
Plantain,Cote d'Ivoire,1,500.0,269.63
Maize,Senegal,12,50.0,199.27
Plantain,Gabon,5,25.0,285.81
Irish Potato,Sao Tome and Principe,7,500.0,8.17
Rice,Libya,4,500.0,4.36
Beans,Botswana,3,50.0,15.99
Plantain,Gabon,11,10.0,287.1
Onion,Namibia,1,500.0,8.6
Cassava,Gambia,9,1000.0,10.93
Plantain,Libya,12,25.0,2.3
Onion,Mali,10,250.0,366.36
Irish Potato,Togo,12,1000.0,280.14
Coffee,Zambia,7,1000.0,89.09
Cocoa,Morocco,7,25.0,32.4
Beans,Equatorial Guinea,12,100.0,758.71
Coffee,Congo (Republic),10,10.0,2105.62
Cassava,Tanzania,4,1000.0,545.27
Maize,Djibouti,1,500.0,61.85
Tomato,Zambia,12,500.0,17.23
Coffee,Burundi,10,10.0,9773.08
Cocoa,Ghana,10,500.0,41.36
Beans,Guinea,10,25.0,10677.03
Cocoa,Central African Republic,5,250.0,1845.26
Plantain,Sierra Leone,11,100.0,9965.57
Beans,South Africa,7,250.0,16.46
Irish Potato,Libya,12,1000.0,2.26
Rice,Seychelles,8,10.0,11.17
Irish Potato,Ethiopia,11,10.0,59.12
Onion,South Africa,8,500.0,10.93
Cassava,Cabo Verde,4,25.0,24.23
Tomato,Rwanda,7,25.0,1039.97
Irish Potato,Angola,8,250.0,401.32
Rice,Mozambique,3,100.0,58.31
Rice,Kenya,6,1000.0,96.66
Cocoa,Burkina Faso,10,500.0,1806.88
Cocoa,Mozambique,11,25.0,171.39
Cocoa,Sudan,11,25.0,1647.51
Coffee,Cote d'Ivoire,8,100.0,2039.58
Irish Potato,Morocco,2,1000.0,4.51
Rice,Gambia,12,25.0,51.97
Coffee,Rwanda,5,10.0,5617.19
Beans,Sudan,2,250.0,661.51
Onion,Nigeria,12,100.0,845.97
Cassava,Namibia,12,10.0,3.61
Beans,Cote d'Ivoire,2,250.0,678.08
Beans,Sao Tome and Principe,12,100.0,27.85
Beans,Burundi,3,25.0,3213.3
Cocoa,Madagascar,7,1000.0,12385.61
Cassava,Mozambique,1,25.0,13.31
Beans,Algeria,9,250.0,147.83
Cocoa,Chad,7,100.0,2001.14
Maize,Kenya,9,50.0,40.28
Cassava,Egypt,2,100.0,9.89
Cassava,Mozambique,3,50.0,13.46
Maize,Burkina Faso,7,100.0,168.88
Beans,Sao Tome and Principe,6,500.0,20.12
Beans,Burkina Faso,9,50.0,688.15
Maize,Gabon,12,250.0,199.43
Beans,Tunisia,12,50.0,3.89
Rice,Equatorial Guinea,9,250.0,433.53
Plantain,Djibouti,6,50.0,75.41
Tomato,Tunisia,8,50.0,2.41
Maize,Ghana,10,50.0,5.13
Coffee,Kenya,1,250.0,451.12
Coffee,Mauritius,2,25.0,154.11
Beans,Gambia,9,50.0,68.42
Rice,Egypt,1,100.0,38.4
Cassava,Chad,2,250.0,123.08
Beans,Morocco,2,50.0,11.1
Beans,Kenya,5,100.0,130.1
Maize,Morocco,11,1000.0,2.71
Cocoa,Ethiopia,11,250.0,344.74
Irish Potato,Uganda,11,50.0,1874.86
Cocoa,Gambia,4,500.0,211.56
Tomato,Togo,10,25.0,447.9
Coffee,Sao Tome and Principe,7,250.0,84.68
Tomato,Equatorial Guinea,3,500.0,329.68
Coffee,Comoros,12,10.0,1588.51
Cocoa,Central African Republic,12,500.0,1481.74
Cocoa,Kenya,5,25.0,451.05
Onion,Nigeria,10,500.0,909.66
Rice,Mali,4,1000.0,453.11
Beans,Libya,10,25.0,5.55
Tomato,Rwanda,9,50.0,1024.57
Irish Potato,Uganda,11,100.0,1715.09
Plantain,Mozambique,9,10.0,26.12
Irish Potato,Libya,1,100.0,2.55
Plantain,Liberia,7,50.0,86.87
Beans,Ghana,9,1000.0,14.82
Onion,Eritrea,1,25.0,7.77
Cassava,Cameroon,8,500.0,103.99
Rice,Mozambique,2,25.0,56.51
Tomato,Comoros,2,500.0,252.67
Rice,Congo (DRC),3,1000.0,2052.0
Onion,Malawi,2,250.0,796.21
Irish Potato,Guinea-Bissau,3,10.0,324.22
Cassava,Ghana,5,1000.0,3.17
Plantain,Togo,5,10.0,290.15
Coffee,Equatorial Guinea,1,25.0,2281.32
Maize,Mozambique,10,25.0,19.2
Onion,Zambia,11,50.0,14.86
Coffee,Cameroon,2,10.0,2169.27
Onion,Sao Tome and Principe,1,50.0,11.58
Irish Potato,Morocco,3,50.0,5.26
Cassava,Tunisia,3,50.0,0.69
Maize,Sierra Leone,3,250.0,7823.45
Cocoa,Senegal,12,100.0,1535.28
Beans,Nigeria,3,250.0,1610.12
Beans,Gabon,3,500.0,570.87
Beans,Central African Republic,12,50.0,768.61
Tomato,Mozambique,6,25.0,45.86
Beans,Liberia,8,25.0,205.81
Maize,Libya,11,500.0,1.5
Plantain,Congo (Republic),10,50.0,243.17
Onion,Angola,10,1000.0,447.74
Coffee,Cabo Verde,5,1000.0,377.82
Rice,Guinea,12,250.0,6287.68
Plantain,Burundi,5,25.0,1347.73
Maize,Seychelles,11,1000.0,3.96
Tomato,Uganda,5,50.0,2380.74
Cocoa,Sudan,11,25.0,1542.79
Onion,Mali,11,500.0,325.81
Onion,South Africa,12,50.0,9.49
Tomato,Eswatini,4,1000.0,9.7
Plantain,Mali,7,25.0,258.57
Maize,Sierra Leone,2,25.0,8706.48
Plantain,Gabon,8,50.0,237.12
Plantain,Malawi,10,50.0,711.99
Cocoa,Guinea-Bissau,7,10.0,2107.33
Onion,Eritrea,4,250.0,8.0
Plantain,Madagascar,2,25.0,2440.62
Cassava,Angola,4,100.0,197.12
Cocoa,Eritrea,5,10.0,47.28
Onion,Senegal,7,10.0,365.58
Onion,Mali,7,100.0,425.92
Plantain,Eswatini,6,250.0,8.25
Onion,Seychelles,1,25.0,7.06
Irish Potato,Cameroon,3,100.0,308.31
Cocoa,Comoros,4,250.0,1480.89
Beans,Malawi,4,250.0,1715.91
Tomato,Mozambique,7,10.0,46.58
Plantain,Morocco,1,25.0,4.99
Cassava,Togo,7,1000.0,112.98
Plantain,Nigeria,1,250.0,770.57
Cocoa,Djibouti,11,25.0,448.99
Cocoa,Uganda,10,500.0,10386.85
Coffee,Libya,5,25.0,20.32
Onion,Botswana,8,250.0,8.97
Coffee,South Africa,6,1000.0,64.29
Rice,Sao Tome and Principe,7,10.0,19.47
Irish Potato,Liberia,2,10.0,105.49
Cocoa,Djibouti,8,10.0,581.7
Onion,Egypt,9,100.0,26.58
Coffee,Malawi,1,50.0,5899.94
Irish Potato,Congo (Republic),7,25.0,246.02
Plantain,Guinea,6,500.0,3837.88
Irish Potato,Mauritius,9,250.0,21.93
Coffee,Cameroon,3,25.0,2363.14
Cassava,Morocco,3,10.0,2.12
Cocoa,Seychelles,3,100.0,43.47
Cocoa,Sudan,10,25.0,1712.67
Tomato,Mauritius,8,1000.0,30.69
Irish Potato,Namibia,6,25.0,8.14
Plantain,Tanzania,3,10.0,1426.73
Coffee,Senegal,5,50.0,2558.73
Cocoa,Sierra Leone,3,25.0,67806.48
Irish Potato,Equatorial Guinea,6,10.0,287.05
Rice,Eritrea,6,1000.0,10.67
Maize,South Africa,1,50.0,6.89
Coffee,Tanzania,7,100.0,11161.75
Beans,Somalia,3,25.0,567.01
Tomato,Mauritius,11,250.0,32.47
Tomato,Mali,2,500.0,407.31
Maize,Cote d'Ivoire,1,500.0,208.02
Plantain,Uganda,10,25.0,1582.88
Cassava,Senegal,8,250.0,116.81
Plantain,Angola,4,100.0,446.71
Coffee,Egypt,11,1000.0,130.95
Cassava,Tunisia,1,100.0,0.66
Cocoa,Egypt,7,250.0,155.58
Tomato,Togo,7,25.0,489.0
Irish Potato,Uganda,6,10.0,1658.49
Plantain,Botswana,12,10.0,6.61
Plantain,Madagascar,5,250.0,2362.22
Onion,Sao Tome and Principe,2,1000.0,9.75
Rice,Eritrea,5,50.0,13.31
Cocoa,Eswatini,4,250.0,54.83
Cassava,Mauritania,1,500.0,7.32
Plantain,Kenya,6,25.0,61.48
Cassava,Djibouti,6,500.0,38.52
Rice,Cabo Verde,7,25.0,80.76
Cassava,Togo,10,50.0,113.07
Rice,Gambia,10,1000.0,39.67
Tomato,Central African Republic,11,250.0,434.43
Tomato,Senegal,11,100.0,434.66
Cassava,Comoros,5,10.0,104.81
Irish Potato,Botswana,4,50.0,6.35
Plantain,South Africa,10,10.0,7.79
Cocoa,Namibia,10,100.0,50.96
Tomato,Sierra Leone,7,25.0,15197.66
Cassava,Sao Tome and Principe,11,250.0,3.85
Rice,Niger,2,1000.0,453.21
Tomato,Mauritius,9,25.0,34.18
Onion,Ghana,6,50.0,9.93
Tomato,Sierra Leone,6,50.0,15662.84
Cassava,Ethiopia,5,500.0,26.19
Cassava,Gabon,1,250.0,115.11
Rice,Lesotho,12,50.0,14.68
Beans,Mali,3,50.0,672.21
Onion,Gambia,10,100.0,45.97
Cocoa,Zimbabwe,4,25.0,93.82
Irish Potato,Chad,11,250.0,290.94
Onion,Gabon,5,25.0,349.13
Irish Potato,Guinea,10,250.0,4317.79
Plantain,Burundi,9,10.0,1067.72
Tomato,Kenya,3,25.0,79.77
Beans,Algeria,4,50.0,154.9
Coffee,Cabo Verde,8,10.0,364.51
Cocoa,Tunisia,11,250.0,7.6
Onion,Zimbabwe,5,1000.0,11.97
Rice,Burundi,11,500.0,2197.16
Tomato,Seychelles,6,250.0,9.89
Onion,Zambia,5,10.0,15.29
Cassava,Somalia,3,25.0,126.97
Onion,Egypt,6,25.0,29.23
Cassava,Malawi,11,50.0,304.88
Cassava,Equatorial Guinea,12,1000.0,104.87
Plantain,Uganda,12,50.0,1739.37
Maize,Seychelles,9,500.0,3.69
Tomato,Mauritius,1,250.0,30.16
Irish Potato,Madagascar,12,25.0,2493.32
Irish Potato,South Sudan,1,100.0,1713.69
Coffee,Rwanda,12,1000.0,3844.14
Beans,Guinea,12,25.0,10989.62
Maize,Lesotho,3,500.0,6.29
Maize,Cameroon,10,1000.0,157.85
Plantain,Eswatini,6,250.0,8.74
Rice,Senegal,7,50.0,480.48
Tomato,Botswana,8,25.0,10.67
Cassava,Gabon,12,10.0,117.03
Coffee,Ghana,1,500.0,47.27
Plantain,Sao Tome and Principe,6,1000.0,9.59
Rice,Sierra Leone,8,10.0,16845.18
Rice,Burundi,12,10.0,2455.13
Plantain,Burundi,6,500.0,1262.32
Tomato,Uganda,5,100.0,2464.78
Irish Potato,Chad,6,100.0,268.25
Cocoa,Tunisia,10,1000.0,7.22
Cocoa,Mauritius,11,250.0,126.8
Irish Potato,Cabo Verde,7,250.0,42.01
Tomato,Eswatini,12,100.0,13.53
Plantain,Tunisia,1,10.0,1.58
Tomato,Equatorial Guinea,8,500.0,418.74
Cocoa,Algeria,11,25.0,367.4
Cocoa,Gambia,8,10.0,210.96
Tomato,Central African Republic,9,100.0,443.68
Tomato,Rwanda,5,500.0,855.92
Cassava,Mozambique,4,1000.0,13.36
Beans,Ghana,6,100.0,14.59
Irish Potato,Angola,1,10.0,547.16
Rice,Somalia,2,25.0,475.37
Maize,Mauritius,9,25.0,12.87
Maize,Kenya,9,25.0,41.86
Maize,Central African Republic,4,500.0,197.15
Plantain,Cabo Verde,1,10.0,49.27
Coffee,Ethiopia,4,25.0,500.92
Onion,Kenya,2,1000.0,52.49
Onion,Chad,2,250.0,294.01
Onion,Chad,10,10.0,354.3
Irish Potato,Sao Tome and Principe,10,25.0,10.58
Irish Potato,Chad,1,50.0,364.58
Beans,South Africa,6,10.0,16.85
Coffee,Somalia,2,10.0,2084.76
Irish Potato,Djibouti,10,50.0,85.42
Coffee,Gambia,7,1000.0,231.1
Irish Potato,Tanzania,1,500.0,1281.15
Irish Potato,Lesotho,8,50.0,8.18
Cassava,Comoros,11,1000.0,66.43
Rice,Mauritius,8,100.0,36.66
Cocoa,Namibia,5,250.0,51.29
Cocoa,Mali,1,50.0,1638.15
Cocoa,Madagascar,1,25.0,10584.69
Irish Potato,Guinea-Bissau,9,100.0,271.35
Beans,Mozambique,4,500.0,57.59
Onion,Burundi,5,250.0,1559.92
Rice,Cabo Verde,8,10.0,73.38
Coffee,Zimbabwe,1,25.0,95.21
Onion,Togo,2,1000.0,237.15
Plantain,Sudan,7,10.0,266.88
Plantain,Algeria,7,50.0,50.44
Coffee,Nigeria,1,10.0,5219.02
Beans,Niger,3,10.0,660.19
Tomato,Ethiopia,8,25.0,88.95
Plantain,Eswatini,9,25.0,7.11
Cocoa,Morocco,10,100.0,27.37
Coffee,Seychelles,9,50.0,44.84
Onion,Tanzania,9,25.0,1798.1
Cocoa,Uganda,8,100.0,10805.79
Maize,Equatorial Guinea,5,100.0,184.52
Maize,Algeria,6,1000.0,32.87
Cassava,Zambia,8,250.0,5.3
Tomato,Zambia,12,100.0,18.59
Rice,Mozambique,4,25.0,59.6
Coffee,Cote d'Ivoire,10,100.0,1981.8
Cocoa,Liberia,6,250.0,636.19
Beans,Tanzania,11,1000.0,2815.56
Tomato,Mauritius,8,25.0,37.44
Cocoa,Chad,8,25.0,1913.16
Irish Potato,Malawi,6,250.0,746.93
Plantain,Seychelles,6,25.0,6.7
Irish Potato,Eritrea,12,50.0,8.13
Onion,Benin,1,25.0,322.11
Maize,Seychelles,8,1000.0,3.34
Tomato,Mali,2,1000.0,327.2
Coffee,Botswana,10,100.0,45.18
Cocoa,Guinea-Bissau,6,100.0,2011.78
Tomato,Lesotho,6,50.0,11.86
Cassava,Benin,11,10.0,106.51
Tomato,Botswana,11,10.0,9.77
Coffee,South Africa,8,500.0,63.46
Cassava,Mauritius,12,500.0,7.77
Cocoa,Tanzania,9,500.0,8254.19
Tomato,Sierra Leone,3,100.0,12847.04
Cassava,Burkina Faso,6,50.0,150.03
Onion,Chad,11,10.0,368.65
Beans,Zambia,7,50.0,24.99
Cocoa,Gambia,4,50.0,215.68
Plantain,Morocco,8,10.0,4.14
Onion,Angola,10,250.0,558.53
Onion,Togo,10,25.0,356.91
Tomato,Seychelles,6,1000.0,8.18
Rice,Guinea-Bissau,8,25.0,460.02
Rice,Mozambique,4,100.0,63.29
Coffee,South Africa,12,100.0,56.9
Irish Potato,Seychelles,3,1000.0,6.08
Cocoa,Burundi,2,10.0,8700.21
Maize,Cameroon,6,50.0,205.63
Coffee,Congo (DRC),1,25.0,10651.08
Tomato,Ethiopia,2,250.0,76.33
Maize,Lesotho,8,25.0,5.15
Beans,Cabo Verde,5,25.0,101.99
Rice,Congo (Republic),2,500.0,472.03
Onion,Congo (Republic),12,50.0,334.59
Coffee,Gambia,11,25.0,220.71
Onion,Gabon,10,500.0,373.17
Tomato,Libya,6,100.0,3.06
Maize,Zambia,2,100.0,10.29
Rice,Zambia,6,1000.0,19.99
Coffee,Eswatini,7,250.0,61.21
Tomato,Lesotho,8,50.0,14.21
Rice,Eritrea,9,10.0,10.93
Cassava,Burundi,4,50.0,685.71
Cassava,Egypt,1,1000.0,8.36
Tomato,Sudan,5,10.0,416.07
Plantain,Morocco,2,50.0,4.98
Rice,Congo (DRC),10,100.0,1942.8
Maize,Seychelles,12,250.0,4.96
Cassava,Benin,2,100.0,132.22
Onion,Djibouti,4,250.0,100.81
Cocoa,Congo (DRC),2,500.0,7289.08
Cocoa,Cote d'Ivoire,9,250.0,1919.57
Irish Potato,Benin,12,10.0,340.91
Cassava,Mauritania,1,100.0,7.69
Plantain,Sao Tome and Principe,2,1000.0,9.53
Plantain,Central African Republic,10,25.0,257.78
Cocoa,Gambia,8,1000.0,188.31
Coffee,Central African Republic,2,100.0,2416.88
Coffee,Comoros,3,500.0,1597.67
Coffee,Gambia,4,250.0,264.42
Cassava,Djibouti,7,50.0,38.61
Cocoa,Nigeria,12,500.0,3696.07
Onion,Malawi,12,25.0,964.64
Tomato,Mozambique,2,10.0,41.87
Beans,Djibouti,4,500.0,163.56
Irish Potato,Ethiopia,5,500.0,51.93
Onion,Comoros,2,500.0,192.9
Plantain,Burundi,1,50.0,1374.99
Plantain,Mauritania,11,500.0,16.13
Plantain,Congo (Republic),12,25.0,297.91
Onion,Rwanda,7,10.0,811.69
Cocoa,Mauritania,2,500.0,104.46
Rice,Comoros,12,1000.0,326.18
Maize,Guinea-Bissau,2,500.0,207.18
Cassava,Djibouti,11,1000.0,25.18
Cocoa,Zambia,6,25.0,91.07
Onion,Burundi,8,500.0,1672.62
Coffee,Equatorial Guinea,2,50.0,2235.64
Coffee,Central African Republic,4,500.0,2411.24
Rice,Zambia,11,1000.0,16.03
Beans,Libya,2,1000.0,5.21
Cassava,Nigeria,2,10.0,311.67
Cassava,Seychelles,6,50.0,3.08
Coffee,Rwanda,5,50.0,5738.06
Cassava,Gabon,12,1000.0,102.42
Maize,Botswana,5,1000.0,3.86
Rice,Madagascar,11,500.0,3234.77
Maize,Zimbabwe,12,1000.0,7.83
Tomato,Gabon,5,25.0,392.8
Cassava,Morocco,9,100.0,1.85
Beans,Kenya,3,500.0,135.1
Cassava,Liberia,10,10.0,35.58
Plantain,Morocco,11,10.0,4.36
Cocoa,Kenya,12,50.0,328.08
Beans,Eswatini,7,250.0,18.35
Tomato,Benin,12,50.0,393.02
Tomato,Comoros,10,250.0,337.89
Onion,Zambia,12,50.0,15.39
Cocoa,Togo,3,100.0,1630.33
Cassava,Niger,12,1000.0,97.91
Cocoa,Burkina Faso,5,1000.0,1712.84
Coffee,Nigeria,4,250.0,6557.17
Coffee,Seychelles,4,1000.0,46.35
Cassava,Mauritius,11,500.0,7.27
Maize,Tanzania,7,100.0,773.45
Cassava,South Sudan,4,1000.0,630.9
Beans,Sao Tome and Principe,6,25.0,21.21
Tomato,Djibouti,4,500.0,105.44
Maize,Cameroon,4,500.0,190.04
Beans,Central African Republic,1,25.0,747.74
Coffee,Mauritius,10,500.0,130.6
Coffee,Guinea-Bissau,7,500.0,2171.59
Maize,Chad,2,50.0,239.06
Plantain,Comoros,8,1000.0,177.87
Coffee,Mauritania,5,10.0,156.16
Maize,Madagascar,12,1000.0,1302.91
Coffee,Seychelles,7,50.0,49.68
Plantain,Tunisia,5,250.0,1.56
Plantain,Sudan,4,1000.0,235.59
Tomato,Comoros,4,100.0,268.26
Onion,Lesotho,8,50.0,11.48
Cocoa,Botswana,2,25.0,39.41
Tomato,Angola,5,500.0,515.91
Coffee,Chad,12,100.0,1914.21
Rice,Gambia,2,50.0,60.27
Plantain,Niger,2,10.0,298.97
Coffee,Comoros,2,50.0,1743.86
Onion,Eswatini,7,25.0,12.04
Maize,Sudan,4,50.0,233.07
Onion,Libya,10,10.0,3.04
Rice,Botswana,7,100.0,11.24
Plantain,Central African Republic,9,25.0,252.42
Rice,Zambia,7,50.0,22.19
Cassava,Central African Republic,2,250.0,123.39
Cassava,Mauritius,2,10.0,9.83
Maize,Congo (Republic),3,250.0,191.95
Cocoa,Guinea-Bissau,10,250.0,1671.86
Maize,Tanzania,10,250.0,780.08
Rice,Guinea,8,500.0,6473.93
Maize,Sierra Leone,9,100.0,5959.26
Rice,Uganda,1,250.0,2830.63
Onion,Mauritania,7,250.0,27.75
Cocoa,Madagascar,10,1000.0,10492.02
Onion,Guinea,10,25.0,5496.3
Cocoa,Mauritius,7,100.0,149.87
Irish Potato,Burundi,7,50.0,1093.26
Cocoa,Tunisia,5,50.0,10.8
Maize,Ghana,8,100.0,4.33
Coffee,Djibouti,5,50.0,785.15
Rice,Mauritius,1,250.0,36.46
Cocoa,Eswatini,9,50.0,57.07
Coffee,Gambia,4,250.0,282.05
Irish Potato,Sudan,10,50.0,283.34
Plantain,South Africa,4,25.0,8.58
Cassava,Gambia,4,1000.0,14.23
Plantain,Algeria,4,500.0,68.75
Irish Potato,Malawi,7,25.0,734.57
Cassava,Mauritius,12,100.0,8.38
Onion,Djibouti,4,250.0,88.67
Plantain,Morocco,4,10.0,5.05
Onion,Chad,4,250.0,311.33
Irish Potato,Senegal,5,10.0,271.56
Onion,Mauritania,5,10.0,24.03
Beans,Equatorial Guinea,1,250.0,760.78
Beans,Burkina Faso,9,250.0,689.79
Rice,Namibia,10,100.0,12.63
Irish Potato,Liberia,6,500.0,80.1
Maize,Sierra Leone,3,1000.0,7099.2
Onion,Equatorial Guinea,1,500.0,303.27
Irish Potato,Namibia,2,50.0,9.79
Rice,Ghana,1,10.0,13.8
Coffee,Benin,12,50.0,1907.76
Rice,Rwanda,5,500.0,1118.88
Irish Potato,Gabon,2,100.0,324.3
Cocoa,Cabo Verde,11,250.0,270.91
Maize,Mauritania,7,500.0,11.76
Rice,Senegal,12,25.0,470.56
Rice,Cote d'Ivoire,10,100.0,367.82
Onion,Djibouti,9,50.0,117.15
Maize,Malawi,2,1000.0,584.52
Cassava,Liberia,3,1000.0,35.48
Tomato,Somalia,2,100.0,344.65
Tomato,Central African Republic,8,10.0,440.46
Rice,Somalia,9,10.0,429.52
Cassava,Ethiopia,5,50.0,29.36
Onion,Tanzania,5,100.0,1519.15
Plantain,Chad,12,25.0,276.71
Maize,Eritrea,3,250.0,4.97
Beans,Kenya,9,50.0,143.13
Maize,Malawi,7,1000.0,431.84
Rice,Niger,11,25.0,454.79
Plantain,Tanzania,6,1000.0,1127.68
Cassava,Chad,4,500.0,131.07
Beans,Eswatini,10,50.0,20.39
Onion,Eswatini,1,250.0,8.95
Plantain,Liberia,12,10.0,92.16
Cocoa,Ghana,7,100.0,52.84
Irish Potato,Ethiopia,5,250.0,54.83
Tomato,Sudan,5,10.0,390.23
Cassava,Malawi,7,50.0,366.68
Onion,Sao Tome and Principe,6,100.0,13.13
Onion,Zimbabwe,10,250.0,15.52
Coffee,Gambia,7,50.0,291.13
Rice,Mali,8,500.0,461.52
Maize,Mali,11,100.0,195.16
Beans,Ghana,6,500.0,14.27
Plantain,Niger,11,1000.0,228.47
Beans,Eswatini,7,250.0,17.08
Maize,Botswana,6,500.0,3.65
Irish Potato,Angola,11,1000.0,424.81
Cassava,Tanzania,3,500.0,555.72
Plantain,South Africa,10,1000.0,6.47
Cocoa,Congo (Republic),3,50.0,1832.58
Coffee,Central African Republic,4,1000.0,2246.82
Onion,Sudan,5,100.0,339.82
Plantain,Uganda,10,50.0,1644.93
Maize,Congo (Republic),3,500.0,195.5
Tomato,Egypt,4,10.0,30.31
Cocoa,Chad,11,500.0,1526.05
Beans,Tunisia,10,1000.0,3.14
Coffee,Mauritania,2,25.0,145.14
Rice,Niger,4,1000.0,485.41
Beans,Botswana,2,1000.0,13.34
Tomato,Rwanda,4,10.0,917.07
Cocoa,Ethiopia,12,50.0,325.44
Onion,Djibouti,10,100.0,97.71
Rice,Kenya,4,250.0,125.45
Rice,Namibia,12,25.0,14.24
Cocoa,Somalia,5,1000.0,1588.18
Coffee,Uganda,5,250.0,15339.75
Rice,Guinea-Bissau,8,500.0,400.43
Irish Potato,Seychelles,7,50.0,5.72
Onion,Egypt,6,50.0,31.46
Irish Potato,Niger,1,25.0,348.66
Cocoa,Gabon,4,100.0,1750.24
Cassava,Libya,11,500.0,0.74
Maize,Sao Tome and Principe,2,50.0,8.56
Cassava,Congo (Republic),11,100.0,99.87
Onion,Niger,9,1000.0,323.82
Tomato,South Africa,5,50.0,12.17
Plantain,Somalia,9,500.0,197.2
Coffee,Somalia,5,25.0,2694.49
Irish Potato,Tunisia,10,100.0,1.54
Irish Potato,Equatorial Guinea,5,500.0,251.36
Plantain,Somalia,2,50.0,311.28
Coffee,Liberia,5,50.0,785.06
Coffee,Burundi,5,25.0,13380.38
Rice,Sao Tome and Principe,7,50.0,16.99
Cassava,Mauritania,5,1000.0,8.25
Cassava,Morocco,7,500.0,1.94
Maize,Niger,10,100.0,180.54
Irish Potato,Guinea-Bissau,2,50.0,323.79
